"RAILROAD","IYR","IMO","STATE","COUNTY","LOCOMI","MTMI","ysmi","TOTMI","EMPHRS","PASSMI","REVPASS","TYPRR","REGION","DUMMY","YEAR4","FRTRNMI","PASTRNMI","OTHERMI","CNTYCD","STCNTY","NARR1","NARR2","NARR3","NARRLEN",DUMMY1
"ABS ","17","02","01","TUSCALOOSA          ","0","0","3586","8846","7149","0","0","3 ","3","","2017","5260","0","0","125","01C125","","","","0","",
"ABS ","17","03","01","TUSCALOOSA          ","0","0","3931","9447","8045","0","0","3 ","3","","2017","5516","0","0","125","01C125","","","","0","",
"NARZ","17","01","01","MADISON             ","0","0","1","1","0","0","0","3 ","3","","2017","0","0","0","089","01C089","15.  ALL WORKERS VOLUNTEERS OR CONTRACTORS.
16.  NO OPERATIONS SCHEDULED DURING WINTER MONTHS.","","","95","",
"SERX","17","11","01","JEFFERSON           ","0","0","0","0","0","0","0","3 ","3","","2017","0","0","0","073","01C073","SERX HAS NO EMPLOYEES AND NEITHER OWNS NOR OPERATES ANY EQUIPMENT.","","","66","",
"ABS ","17","06","01","TUSCALOOSA          ","0","0","4002","9801","8478","0","0","3 ","3","","2017","5799","0","0","125","01C125","","","","0","",
"ABWR","17","03","01","JEFFERSON           ","0","0","4617","4617","3171","0","0","3 ","3","","2017","0","0","0","073","01C073","","","","0","",
"BHRR","17","04","01","JEFFERSON           ","0","0","11983","13209","11439","0","0","3 ","3","","2017","1226","0","0","073","01C073","","","","0","",
"AUT ","17","03","01","AUTAUGA             ","0","0","635","2375","1827","0","0","3 ","3","","2017","1740","0","0","001","01C001","","","","0","",
"HMCR","17","12","01","MADISON             ","0","0","5","525","758","0","0","3 ","3","","2017","520","0","0","089","01C089","","","","0","",
"ATN ","17","11","01","ETOWAH              ","0","0","1465","4921","3792","0","0","3 ","3","","2017","3456","0","0","055","01C055","","","","0","",
"SERX","17","03","01","JEFFERSON           ","0","0","0","0","0","0","0","3 ","3","","2017","0","0","0","073","01C073","SERX HAS NO EMPLOYEES AND NEITHER OWNS NOR OPERATES ANY EQUIPMENT.","","","66","",
"TASD","17","03","01","MOBILE              ","0","0","10206","10206","16007","0","0","3 ","3","","2017","0","0","0","097","01C097","","","","0","",
"OAR ","17","07","28","PERRY               ","0","0","2232","2232","1574","0","0","3 ","3","","2017","0","0","0","111","28C111","","","","0","",
"GTRA","17","01","28","LOWNDES             ","0","0","248","1148","1471","0","0","3 ","3","","2017","900","0","0","087","28C087","","","","0","",
"MSE ","17","01","28","JACKSON             ","0","0","378","2222","6728","0","0","3 ","3","","2017","1844","0","0","059","28C059","","","","0","",
"MSE ","17","04","28","JACKSON             ","0","0","342","1542","6041","0","0","3 ","3","","2017","1200","0","0","059","28C059","","","","0","",
"PBVR","17","03","28","HANCOCK             ","0","0","1134","1377","1949","0","0","3 ","3","","2017","243","0","0","045","28C045","","","","0","",
"PBVR","17","04","28","HANCOCK             ","0","0","1176","1428","1715","0","0","3 ","3","","2017","252","0","0","045","28C045","","","","0","",
"IRYM","17","11","17","MCHENRY             ","0","0","0","100","0","13900","1390","3 ","4","","2017","0","100","0","111","17C111","SEASONAL OPERATION - CHRISTMAS TRAIN - (2) WEEKENDS, SATURDAY & SUNDAY, IN NOVEMBER. ","","","84","",
"LFIZ","17","12","17","MONTGOMERY          ","0","0","0","0","0","0","0","6 ","4","","2017","0","0","0","135","17C135","","","","0","",
"PARN","17","02","02","SKAGWAY-HOONAH-ANGOO","0","0","0","0","3402","0","0","3 ","8","","2017","0","0","0","","","ONLY ADMIN STAFF CURRENTLY WORKING","","","34","",
"PARN","17","04","02","SKAGWAY-HOONAH-ANGOO","0","0","0","0","8570","0","0","3 ","8","","2017","0","0","0","","","INCREASE IN HOURS REFLECTS RAMP UP IN SEASONAL OPERATIONS.","","","58","",
"ARR ","17","06","02","ANCHORAGE           ","0","0","27874","104138","104589","14859515","115971","2 ","8","","2017","26317","49947","0","020","02C020","PASSENGER COUNTS AND MANHOURS ARE HIGHER DUE TO MID WEEK PASSENGER TRAINS.","","","74","",
"ARR ","17","07","02","ANCHORAGE           ","0","0","27249","106271","101641","17257938","136922","2 ","8","","2017","26798","52224","0","020","02C020","PASSENGER COUNTS AND MANHOURS ARE HIGHER DUE TO MID-WEEK PASSENGER TRAINS.","","","74","",
"ARR ","17","08","02","ANCHORAGE           ","0","0","27072","109813","107838","15629125","123754","2 ","8","","2017","30522","52219","0","020","02C020","PASSENGER COUNTS AND MANHOURS ARE HIGHER DUE TO MID WEEK PASSENGER TRAINS.","","","74","",
"ARR ","17","11","02","ANCHORAGE           ","0","0","16931","39892","72731","267716","1073","2 ","8","","2017","19939","3022","0","020","02C020","MANHOURS AND PASSENGER COUNTS ARE LOWER DUE TO OFF SEASON","","","57","",
"ARR ","17","02","02","ANCHORAGE           ","0","0","22335","46435","87820","391181","2438","2 ","8","","2017","19984","4116","0","020","02C020","MAHOUR AND PASSENGER COUNTS HAVE INCREASED DUE TO SPECIAL TRAINS.","","","65","",
"ARR ","17","04","02","ANCHORAGE           ","0","0","32223","58980","129741","253291","2024","2 ","8","","2017","22680","4077","0","020","02C020","MANHOUR AND PASSENGER COUNTS HAVE INCREASED DUE TO SPECIAL TRAINS.","","","66","",
"ARR ","17","10","02","ANCHORAGE           ","0","0","16716","46534","84254","398062","3298","2 ","8","","2017","25626","4192","0","020","02C020","PASSENGER NUMBERS ARE LOWER DUE TO PASSENGER SEASON NOT IN SESSION.","","","67","",
"ARR ","17","09","02","ANCHORAGE           ","0","0","40005","103014","147933","8426177","63166","2 ","8","","2017","30315","32694","0","020","02C020","PASSENGER COUNTS AND MANHOURS ARE HIGHER DUE TO MID WEEK PASSENGER TRAINS.","","","74","",
"PARN","17","07","02","SKAGWAY-HOONAH-ANGOO","0","0","0","11890","25861","3413008","107552","3 ","8","","2017","0","11890","0","","","HOURS AND MILES REFLECT THE HEART OF THE OPERATING SEASON","","","57","",
"PARN","17","08","02","SKAGWAY-HOONAH-ANGOO","0","0","0","17134","26016","3100113","112898","3 ","8","","2017","0","17134","0","","","HOURS AND MILES REFLECT THE HEART OF THE OPERATING SEASON.","","","58","",
"PARN","17","09","02","SKAGWAY-HOONAH-ANGOO","0","0","0","5601","20101","1981110","51212","3 ","8","","2017","0","5601","0","","","DECREASE IN MILES, HOURS AND PASSENGERS REFLECTS THE END OF THE PASSENGER SEASON.","","","81","",
"PARN","17","10","02","SKAGWAY-HOONAH-ANGOO","0","0","0","0","12147","0","0","3 ","8","","2017","0","0","0","","","DECREASE IN MILES AND HOURS REFLECTS THE END OF THE OPERATING SEASON.","","","69","",
"PARN","17","11","02","SKAGWAY-HOONAH-ANGOO","0","0","0","0","3044","0","0","3 ","8","","2017","0","0","0","","","HOURS REFLECT OFF SEASON OPERATIONS.","","","36","",
"PARN","17","12","02","SKAGWAY-HOONAH-ANGOO","0","0","0","0","3099","0","0","3 ","8","","2017","0","0","0","","","HOURS REFLECT OFF SEASON OPERATIONS.","","","36","",
"ARR ","17","12","02","ANCHORAGE           ","0","0","13782","38342","82206","947046","5333","2 ","8","","2017","19059","5501","0","020","02C020","MANHOURS AND PASSENGER COUNTS ARE LOWER DUE TO OFF SEASON.","","","58","",
"PARN","17","05","02","SKAGWAY-HOONAH-ANGOO","0","0","0","6196","18114","1801630","61072","3 ","8","","2017","0","6196","0","","","HOURS, MILES, AND PASSENGERS REFLECT RETURN TO PASSENGER SERVICE.","","","65","",
"PARN","17","06","02","SKAGWAY-HOONAH-ANGOO","0","0","0","10622","24210","3013327","116714","3 ","8","","2017","0","10622","0","","","INCREASES REFLECT THE INCREASE INTO THE HEART OF THE OPERATING SEASON.","","","70","",
"ARS ","17","12","05","HOWARD              ","0","0","0","645","892","0","0","3 ","5","","2017","645","0","0","061","05C061","","","","0","",
"DQE ","17","06","05","SEVIER              ","0","0","1563","5311","8444","0","0","3 ","5","","2017","3748","0","0","133","05C133","","","","0","",
"EDW ","17","05","05","UNION               ","0","0","924","1049","1537","0","0","3 ","5","","2017","125","0","0","139","05C139","","","","0","",
"AM  ","17","06","05","WASHINGTON          ","0","0","2354","11300","9664","158578","1680","3 ","5","","2017","6040","2366","540","143","05C143","","","","0","",
"LRPA","17","06","05","PULASKI             ","0","0","1116","1116","987","0","0","3 ","5","","2017","0","0","0","119","05C119","0","","","1","",
"BJRY","17","06","19","DES MOINES          ","0","0","2019","2019","8099","0","0","3 ","6","","2017","0","0","0","057","19C057","","","","0","",
"IANR","17","08","19","BUTLER              ","0","0","0","15462","20422","0","0","3 ","6","","2017","15462","0","0","023","19C023","","","","0","",
"IAIS","17","05","19","LINN                ","0","0","23175","90816","40324","0","0","2 ","6","","2017","67353","0","288","113","19C113","","","","0","",
"IAIS","17","03","19","LINN                ","0","0","23864","95787","42009","0","0","2 ","6","","2017","71587","0","336","113","19C113","","","","0","",
"KEOK","17","01","19","LEE                 ","0","0","0","0","0","0","0","6 ","6","","2017","0","0","0","111","19C111","","","","0","",
"RJCA","17","03","05","ASHLEY              ","0","0","904","904","2314","0","0","3 ","5","","2017","0","0","0","003","05C003","","","","0","",
"RJCA","17","04","05","ASHLEY              ","0","0","708","708","2202","0","0","3 ","5","","2017","0","0","0","003","05C003","","","","0","",
"EDW ","17","03","05","UNION               ","0","0","966","1081","1687","0","0","3 ","5","","2017","115","0","0","139","05C139","","","","0","",
"SCAX","17","01","06","LOS ANGELES         ","0","0","0","230964","74676","26718643","864681","6 ","7","","2017","0","230964","0","037","06C037","LATE PASSENGER INJURY UPDATED 9.15.17 BASED ON CLAIM FOR DAMAGES RECEIVED 9.15.17 FROM CLAIMS DEPT. "," 6180.57 ALSO UPDATED.","","122","",
"TRC ","17","09","06","SAN BERNARDINO      ","0","0","1033","2335","3770","0","0","3 ","7","","2017","1302","0","0","071","06C071","","","","0","",
"SERA","17","09","06","YOLO                ","0","0","178","2154","8420","0","0","3 ","7","","2017","1976","0","0","113","06C113","NONE","","","4","",
"WOPR","17","09","06","ALAMEDA             ","0","0","162","162","356","0","0","3 ","7","","2017","0","0","0","001","06C001","","","","0","",
"SDIY","17","12","06","SAN DIEGO           ","0","0","0","528","974","0","0","3 ","7","","2017","528","0","0","073","06C073","","","","0","",
"STE ","17","09","06","SAN JOAQUIN         ","0","0","966","966","1071","0","0","3 ","7","","2017","0","0","0","077","06C077","","","","0","",
"SFBR","17","09","06","SAN FRANCISCO       ","0","0","504","509","2856","0","0","3 ","7","","2017","5","0","0","075","06C075","","","","0","",
"VTAZ","17","09","06","SANTA CLARA         ","0","0","0","14256","4748","347743","61729","3 ","7","","2017","0","14256","0","085","06C085","","","","0","",
"SFBR","17","08","06","SAN FRANCISCO       ","0","0","552","557","2944","0","0","3 ","7","","2017","5","0","0","075","06C075","","","","0","",
"SCBG","17","05","06","SANTA CRUZ          ","0","0","0","30","1945","123210","4107","6 ","7","","2017","0","30","0","087","06C087","SHORTLINE RAILROAD WITH SEASONAL TOURIST EXCURSIONS.","","","52","",
"SCBG","17","06","06","SANTA CRUZ          ","0","0","0","30","1149","147840","4928","6 ","7","","2017","0","30","0","087","06C087","SHORTLINE RAILROAD WITH SEASONAL TOURIST OPERATIONS.","","","52","",
"SCBG","17","07","06","SANTA CRUZ          ","0","0","0","30","2383","146460","4882","6 ","7","","2017","0","30","0","087","06C087","SHORTLINE RAILROAD WITH SEASONAL TOURIST OPERATIONS.","","","52","",
"SCBG","17","08","06","SANTA CRUZ          ","0","0","0","30","1880","215820","7194","6 ","7","","2017","0","30","0","087","06C087","SHORTLINE RAILROAD WITH SEASONAL TOURIST EXCURSIONS.","","","52","",
"SCBG","17","09","06","SANTA CRUZ          ","0","0","0","30","1405","529590","17653","6 ","7","","2017","0","30","0","087","06C087","SHORTLINE RAILROAD WITH SEASONAL TOURIST EXCURSIONS.","","","52","",
"SCBG","17","10","06","SANTA CRUZ          ","0","0","0","30","1663","528240","17608","6 ","7","","2017","0","30","0","087","06C087","SHORTLINE RAILROAD WITH SEASONAL TOURIST EXCURSIONS.","","","52","",
"ACEX","17","10","06","SAN JOAQUIN         ","0","0","0","15546","15938","5623494","127827","6 ","7","","2017","0","14978","568","077","06C077","","","","0","",
"SCBG","17","03","06","SANTA CRUZ          ","0","0","0","30","1312","9570","319","6 ","7","","2017","0","30","0","087","06C087","SHORTLINE RAILROAD WITH SEASONAL TOURIST EXCURSIONS.","","","52","",
"SCBG","17","04","06","SANTA CRUZ          ","0","0","0","30","1347","47610","1587","6 ","7","","2017","0","30","0","087","06C087","SHORTLINE RAILROAD WITH SEASONAL TOURIST EXCURSIONS.","","","52","",
"BJRR","17","03","06","SAN DIEGO           ","0","0","60","60","384","0","0","3 ","7","","2017","0","0","0","073","06C073","","","","0","",
"IANR","17","04","19","BUTLER              ","0","0","0","16612","16045","0","0","3 ","6","","2017","16612","0","0","023","19C023","","","","0","",
"BSVY","17","03","19","BOONE               ","0","0","12","111","1995","0","0","3 ","6","","2017","99","0","0","015","19C015","BOX 12 AND 16 ARE CORRECT / THE NUMBERS ARE LOW DUE TO OFF SEASON","","","65","",
"KEOK","17","03","19","LEE                 ","0","0","0","0","0","0","0","6 ","6","","2017","0","0","0","111","19C111","","","","0","",
"BSVY","17","02","19","BOONE               ","0","0","10","197","1865","6908","314","3 ","6","","2017","99","88","0","015","19C015","BOX 12 AND 16 ARE CORRECT","","","25","",
"IARR","17","04","19","HARDIN              ","0","0","0","190","208","0","0","3 ","6","","2017","190","0","0","083","19C083","","","","0","",
"IATR","17","02","19","CERRO GORDO         ","0","0","0","338","835","0","0","3 ","6","","2017","338","0","0","033","19C033","","","","0","",
"ISRY","17","02","19","APPANOOSE           ","0","0","0","132","364","0","0","3 ","6","","2017","132","0","0","007","19C007","","","","0","",
"CIC ","17","07","19","LINN                ","0","0","7641","7641","12332","0","0","3 ","6","","2017","0","0","0","113","19C113","","","","0","",
"IAIS","17","09","19","LINN                ","0","0","21563","80687","39483","96194","13742","2 ","6","","2017","58830","294","0","113","19C113","","","","0","",
"CGIF","17","08","19","HARDIN              ","0","0","10","20","2011","0","0","3 ","6","","2017","10","0","0","083","19C083","","","","0","",
"IAIS","17","07","19","LINN                ","0","0","23274","87983","39003","0","0","2 ","6","","2017","64565","0","144","113","19C113","","","","0","",
"BSVY","17","07","19","BOONE               ","0","0","26","1172","2031","87966","5653","3 ","6","","2017","54","1092","0","015","19C015","BOX 12 AND 16 ARE CORRECT","","","25","",
"BJRY","17","07","19","DES MOINES          ","0","0","1950","1950","7311","0","0","3 ","6","","2017","0","0","0","057","19C057","","","","0","",
"IATR","17","09","19","CERRO GORDO         ","0","0","0","371","1511","0","0","3 ","6","","2017","371","0","0","033","19C033","","","","0","",
"ISRY","17","09","19","APPANOOSE           ","0","0","0","892","1417","0","0","3 ","6","","2017","892","0","0","007","19C007","","","","0","",
"KEOK","17","08","19","LEE                 ","0","0","0","0","0","0","0","6 ","6","","2017","0","0","0","111","19C111","","","","0","",
"IATR","17","08","19","CERRO GORDO         ","0","0","0","344","1459","0","0","3 ","6","","2017","344","0","0","033","19C033","","","","0","",
"ISRY","17","08","19","APPANOOSE           ","0","0","0","833","1564","0","0","3 ","6","","2017","833","0","0","007","19C007","INCREASE IN HOURS DUE TO NEW TEAM MEMBERS ","","","41","",
"BSVY","17","09","19","BOONE               ","0","0","28","1194","2493","120074","17321","3 ","6","","2017","54","1112","0","015","19C015","BOX 12 AND 16 ARE CORRECT NUMBERS ARE HIGH DUE TO DAY OUT WITH THOMAS A CHILDREN EVENT","","","86","",
"BJRY","17","09","19","DES MOINES          ","0","0","2298","2298","8294","0","0","3 ","6","","2017","0","0","0","057","19C057","","","","0","",
"IAIS","17","01","19","LINN                ","0","0","23550","90867","40728","0","0","2 ","6","","2017","67221","0","96","113","19C113","","","","0","",
"BJRY","17","08","19","DES MOINES          ","0","0","2489","2489","9308","0","0","3 ","6","","2017","0","0","0","057","19C057","INCREASE IN BUSINESS","","","20","",
"IAIS","17","08","19","LINN                ","0","0","22167","86098","40678","0","0","2 ","6","","2017","63931","0","0","113","19C113","","","","0","",
"CGIF","17","06","19","HARDIN              ","0","0","6","16","2095","0","0","3 ","6","","2017","10","0","0","083","19C083","","","","0","",
"CGIF","17","07","19","HARDIN              ","0","0","6","12","2024","0","0","3 ","6","","2017","6","0","0","083","19C083","","","","0","",
"BSVY","17","11","19","BOONE               ","0","0","28","227","2153","35750","2730","3 ","6","","2017","27","172","0","015","19C015","BOX 12 AND 16 ARE CORRECT NUMBERS ARE DUE TO SANTA EXPRESS TRAINS.","","","66","",
"IATR","17","11","19","CERRO GORDO         ","0","0","0","361","1604","0","0","3 ","6","","2017","361","0","0","033","19C033","","","","0","",
"ISRY","17","11","19","APPANOOSE           ","0","0","0","784","1202","0","0","3 ","6","","2017","784","0","0","007","19C007","","","","0","",
"SCRS","17","06","06","RIVERSIDE           ","0","0","1352","1352","6152","0","0","3 ","7","","2017","0","0","0","065","06C065","","","","0","",
"CWR ","17","07","06","MENDOCINO           ","0","0","0","1700","4857","134115","11292","3 ","7","","2017","0","1700","0","045","06C045","","","","0","",
"CTR ","17","07","37","SAMPSON             ","0","0","0","12","12","0","0","3 ","3","","2017","12","0","0","163","37C163","","","","0","",
"CTR ","17","08","37","SAMPSON             ","0","0","0","28","28","0","0","3 ","3","","2017","28","0","0","163","37C163","","","","0","",
"CTR ","17","09","37","SAMPSON             ","0","0","0","16","16","0","0","3 ","3","","2017","16","0","0","163","37C163","","","","0","",
"SMV ","17","11","06","SANTA BARBARA       ","0","0","0","229","981","0","0","3 ","7","","2017","229","0","0","083","06C083","","","","0","",
"LACZ","17","11","06","LOS ANGELES         ","0","0","0","49813","0","3719904","619984","3 ","7","","2017","0","49813","0","037","06C037","","","","0","",
"FMWX","17","10","06","VENTURA             ","0","0","1","516","320","67756","4991","3 ","7","","2017","0","514","1","111","06C111","","","","0","",
"SERA","17","12","06","YOLO                ","0","0","199","2413","7630","0","0","3 ","7","","2017","2214","0","0","113","06C113","NONE","","","4","",
"PSRR","17","12","06","SAN DIEGO           ","0","0","1495","2437","1421","0","0","3 ","7","","2017","942","0","0","073","06C073","","","","0","",
"PSRR","17","10","06","SAN DIEGO           ","0","0","1829","2967","1726","0","0","3 ","7","","2017","1138","0","0","073","06C073","","","","0","",
"BJRY","17","02","19","DES MOINES          ","0","0","1773","1773","8249","0","0","3 ","6","","2017","0","0","0","057","19C057","","","","0","",
"BJRY","17","03","19","DES MOINES          ","0","0","1727","1727","8301","0","0","3 ","6","","2017","0","0","0","057","19C057","","","","0","",
"BSVY","17","12","19","BOONE               ","0","0","20","320","1787","109416","9118","3 ","6","","2017","36","264","0","015","19C015","BOX 12 AND 16 ARE CORRECT DUE TO SANTA EXPRESS TRAIN","","","52","",
"CIC ","17","04","19","LINN                ","0","0","7180","7180","12257","0","0","3 ","6","","2017","0","0","0","113","19C113","HOURS HAVE BEEN AMMENDED","","","24","",
"CGIF","17","12","19","HARDIN              ","0","0","11","22","2070","0","0","3 ","6","","2017","11","0","0","083","19C083","","","","0","",
"CIC ","17","10","19","LINN                ","0","0","7509","7509","12888","0","0","3 ","6","","2017","0","0","0","113","19C113","INJURY FROM 10/14/17 DID NOT BECOME RECORDABLE/REPORTABLE UNTIL 11/21/17 WHEN PT WAS PERSCRIBED.","","","96","",
"KEOK","17","10","19","LEE                 ","0","0","0","0","0","0","0","6 ","6","","2017","0","0","0","111","19C111","","","","0","",
"CIC ","17","02","19","LINN                ","0","0","6728","6728","11757","0","0","3 ","6","","2017","0","0","0","113","19C113","EMPLOYEE TURNED IN INJURY REPORT IN FEBRUARY.  SOUGHT MEDICAL TREATMENT IN MARCH THAT LED TO RESTRIC","TED DUTY.","","109","",
"IANR","17","02","19","BUTLER              ","0","0","0","14740","15143","0","0","3 ","6","","2017","14740","0","0","023","19C023","","","","0","",
"CIC ","17","05","19","LINN                ","0","0","7785","7785","13189","0","0","3 ","6","","2017","0","0","0","113","19C113","RAILROAD WORKER HOURS HAS BEEN CORRECTED.","","","41","",
"IANR","17","05","19","BUTLER              ","0","0","0","15848","17188","0","0","3 ","6","","2017","15848","0","0","023","19C023","","","","0","",
"BSVY","17","04","19","BOONE               ","0","0","14","251","1963","6775","349","3 ","6","","2017","90","147","0","015","19C015","BOX 12 AND 16 ARE CORRECT","","","25","",
"CIC ","17","12","19","LINN                ","0","0","7377","7377","11535","0","0","3 ","6","","2017","0","0","0","113","19C113","","","","0","",
"BJRY","17","04","19","DES MOINES          ","0","0","2249","2249","8036","0","0","3 ","6","","2017","0","0","0","057","19C057","","","","0","",
"RJCC","17","02","21","JESSAMINE           ","0","0","0","9405","9602","0","0","3 ","3","","2017","9405","0","0","113","21C113","","","","0","",
"RJCA","17","02","21","JESSAMINE           ","0","0","312","312","2473","0","0","3 ","3","","2017","0","0","0","113","21C113","","","","0","",
"RJCD","17","02","21","JESSAMINE           ","0","0","27","27","624","0","0","3 ","3","","2017","0","0","0","113","21C113","","","","0","",
"RJCL","17","02","21","JESSAMINE           ","0","0","0","1224","1635","0","0","3 ","3","","2017","1224","0","0","113","21C113","","","","0","",
"TTIS","17","09","21","BOURBON             ","0","0","0","0","1172","0","0","6 ","3","","2017","0","0","0","017","21C017","","","","0","",
"ABWR","17","05","01","JEFFERSON           ","0","0","4589","4589","4073","0","0","3 ","3","","2017","0","0","0","073","01C073","","","","0","",
"AUT ","17","05","01","AUTAUGA             ","0","0","560","2061","1603","0","0","3 ","3","","2017","1501","0","0","001","01C001","","","","0","",
"ABS ","17","10","01","TUSCALOOSA          ","0","0","4431","9454","8209","0","0","3 ","3","","2017","5023","0","0","125","01C125","CORRECTED REPORT-DUE TO MISSING SWITCH MILES SENT IN LATE","","","57","",
"AUT ","17","10","01","AUTAUGA             ","0","0","508","2203","1856","0","0","3 ","3","","2017","1695","0","0","001","01C001","","","","0","",
"TASD","17","02","01","MOBILE              ","0","0","8508","8508","14193","0","0","3 ","3","","2017","0","0","0","097","01C097","","","","0","",
"HMCR","17","01","01","MADISON             ","0","0","3","211","456","0","0","3 ","3","","2017","208","0","0","089","01C089","","","","0","",
"HMCR","17","02","01","MADISON             ","0","0","4","420","614","0","0","3 ","3","","2017","416","0","0","089","01C089","0","","","1","",
"BHRR","17","03","01","JEFFERSON           ","0","0","14588","16256","13570","0","0","3 ","3","","2017","1668","0","0","073","01C073","","","","0","",
"NARZ","17","11","01","MADISON             ","0","0","1","41","0","3570","357","3 ","3","","2017","0","20","20","089","01C089","14.  INSPECTION TRAIN MILES.
15.  ALL WORKERS VOLUNTEERS OR CONTRACTORS.","","","73","",
"NARZ","17","12","01","MADISON             ","0","0","2","128","0","12123","2253","3 ","3","","2017","0","96","30","089","01C089","14.  WORK TRAIN MILES.
15.  ALL WORKERS VOLUNTEERS OR CONTRACTORS.
16.  PASSENGER MILES WERE FROM ","ANNUAL CHRISTMAS TRAINS.","","124","",
"SERX","17","10","01","JEFFERSON           ","0","0","0","0","0","0","0","3 ","3","","2017","0","0","0","073","01C073","SERX HAS NO EMPLOYEES AND NEITHER OWNS NOR OPERATES ANY EQUIPMENT.","","","66","",
"SERX","17","09","01","JEFFERSON           ","0","0","0","0","0","0","0","3 ","3","","2017","0","0","0","073","01C073","SERX HAS NO EMPLOYEES AND NEITHER OWNS NOR OPERATES ANY EQUIPMENT.","","","66","",
"ATN ","17","09","01","ETOWAH              ","0","0","1464","5533","3662","0","0","3 ","3","","2017","4069","0","0","055","01C055","","","","0","",
"HMCR","17","09","01","MADISON             ","0","0","4","494","490","0","0","3 ","3","","2017","490","0","0","089","01C089","","","","0","",
"NARZ","17","10","01","MADISON             ","0","0","1","50","0","5623","873","3 ","3","","2017","0","34","15","089","01C089","14.  WORK TRAIN MILES.
15.  ALL WORKERS VOLUNTEERS OR CONTRACTORS.
17.  SPIKE IN PASSENGER COUNTS ","FROM HALLOWEEN AND FALL COLOR EVENTS.
","","139","",
"ABWR","17","11","01","JEFFERSON           ","0","0","4274","4274","3563","0","0","3 ","3","","2017","0","0","0","073","01C073","","","","0","",
"AUT ","17","11","01","AUTAUGA             ","0","0","679","2533","1716","0","0","3 ","3","","2017","1854","0","0","001","01C001","","","","0","",
"BHRR","17","11","01","JEFFERSON           ","0","0","11212","12372","12535","0","0","3 ","3","","2017","1160","0","0","073","01C073","","","","0","",
"TASD","17","11","01","MOBILE              ","0","0","8640","8640","14374","0","0","3 ","3","","2017","0","0","0","097","01C097","","","","0","",
"TASD","17","08","01","MOBILE              ","0","0","8808","8808","16174","0","0","3 ","3","","2017","0","0","0","097","01C097","","","","0","",
"HMCR","17","08","01","MADISON             ","0","0","5","525","1260","0","0","3 ","3","","2017","520","0","0","089","01C089","0","","","1","",
"ATN ","17","05","01","ETOWAH              ","0","0","1531","5611","4246","0","0","3 ","3","","2017","4080","0","0","055","01C055","","","","0","",
"ABS ","17","11","01","TUSCALOOSA          ","0","0","2802","8316","7588","0","0","3 ","3","","2017","5514","0","0","125","01C125","","","","0","",
"TASD","17","10","01","MOBILE              ","0","0","10236","10236","15904","0","0","3 ","3","","2017","0","0","0","097","01C097","","","","0","",
"BHRR","17","10","01","JEFFERSON           ","0","0","12612","14122","12525","0","0","3 ","3","","2017","1510","0","0","073","01C073","","","","0","",
"ABWR","17","10","01","JEFFERSON           ","0","0","4772","4772","3992","0","0","3 ","3","","2017","0","0","0","073","01C073","","","","0","",
"ATN ","17","08","01","ETOWAH              ","0","0","1529","6332","4573","0","0","3 ","3","","2017","4803","0","0","055","01C055","","","","0","",
