"RAILROAD","IYR","IMO","STATE","COUNTY","LOCOMI","MTMI","ysmi","TOTMI","EMPHRS","PASSMI","REVPASS","TYPRR","REGION","DUMMY","YEAR4","FRTRNMI","PASTRNMI","OTHERMI","CNTYCD","STCNTY","NARR1","NARR2","NARR3","NARRLEN",DUMMY1
"ABS ","18","07","01","TUSCALOOSA          ","0","0","4219","10396","8836","0","0","3 ","3","","2018","6177","0","0","125","01C125","NO UNUSUAL FLUCTUATIONS IN MILES OR HOURS ","","","41","",
"ATN ","18","08","01","ETOWAH              ","0","0","1647","4882","5821","0","0","3 ","3","","2018","3235","0","0","055","01C055","","","","0","",
"NARZ","18","08","01","MADISON             ","0","0","2","22","0","1430","143","3 ","3","","2018","0","10","10","089","01C089","14.  INSPECTION TRAIN MILES.
15.  ALL WORKERS VOLUNTEERS OR CONTRACTORS.","","","73","",
"SERX","18","04","01","JEFFERSON           ","0","0","0","0","0","0","0","3 ","3","","2018","0","0","0","073","01C073","SERX HAS NO EMPLOYEES AND NEITHER OWNS NOR OPERATES ANY EQUIPMENT.","","","66","",
"SERX","18","01","01","JEFFERSON           ","0","0","0","0","0","0","0","3 ","3","","2018","0","0","0","073","01C073","SERX HAS NO EMPLOYEES AND NEITHER OWNS NOR OPERATES ANY EQUIPMENT.","","","66","",
"ABS ","18","01","01","TUSCALOOSA          ","0","0","3367","9087","8240","0","0","3 ","3","","2018","5720","0","0","125","01C125","","","","0","",
"ABWR","18","01","01","JEFFERSON           ","0","0","5079","5079","3927","0","0","3 ","3","","2018","0","0","0","073","01C073","","","","0","",
"AUT ","18","01","01","AUTAUGA             ","0","0","643","2247","2084","0","0","3 ","3","","2018","1604","0","0","001","01C001","","","","0","",
"BHRR","18","01","01","JEFFERSON           ","0","0","11733","13112","13604","0","0","3 ","3","","2018","1379","0","0","073","01C073","","","","0","",
"TASD","18","01","01","MOBILE              ","0","0","7728","7728","14621","0","0","3 ","3","","2018","0","0","0","097","01C097","","","","0","",
"APPX","18","01","01","SHELBY              ","0","0","40","40","190","0","0","3 ","3","","2018","0","0","0","117","01C117","","","","0","",
"GRYR","18","09","28","GRENADA             ","0","0","394","2370","3044","0","0","3 ","3","","2018","1976","0","0","043","28C043","PRIOR TO AIRGNET INSTALLATION EMAILED 1 6180.54 AND 6180.55A.","","","61","",
"GRYR","18","10","28","GRENADA             ","0","0","492","3045","3769","0","0","3 ","3","","2018","2553","0","0","043","28C043","","","","0","",
"GTRA","18","10","28","LOWNDES             ","0","0","248","1116","1576","0","0","3 ","3","","2018","868","0","0","087","28C087","","","","0","",
"MDS ","18","12","28","LAUDERDALE          ","0","0","0","835","502","0","0","3 ","3","","2018","835","0","0","075","28C075","","","","0","",
"NTZR","18","11","28","ADAMS               ","0","0","130","708","498","0","0","3 ","3","","2018","578","0","0","001","28C001","","","","0","",
"OAR ","18","10","28","PERRY               ","0","0","2232","2232","1468","0","0","3 ","3","","2018","0","0","0","111","28C111","","","","0","",
"PBVR","18","08","28","HANCOCK             ","0","0","1302","1581","3008","0","0","3 ","3","","2018","279","0","0","045","28C045","","","","0","",
"MSE ","18","08","28","JACKSON             ","0","0","414","2334","6562","0","0","3 ","3","","2018","1920","0","0","059","28C059","","","","0","",
"MDS ","18","08","28","LAUDERDALE          ","0","0","0","1180","714","0","0","3 ","3","","2018","1180","0","0","075","28C075","","","","0","",
"NTZR","18","05","28","ADAMS               ","0","0","72","775","459","0","0","3 ","3","","2018","703","0","0","001","28C001","","","","0","",
"NTZR","18","06","28","ADAMS               ","0","0","64","529","634","0","0","3 ","3","","2018","465","0","0","001","28C001","","","","0","",
"NTZR","18","07","28","ADAMS               ","0","0","63","520","527","0","0","3 ","3","","2018","457","0","0","001","28C001","","","","0","",
"MSR ","18","07","28","JASPER              ","0","0","0","338","265","0","0","3 ","3","","2018","338","0","0","061","28C061","","","","0","",
"VSOR","18","07","28","JASPER              ","0","0","0","1810","2654","0","0","3 ","3","","2018","1810","0","0","061","28C061","","","","0","",
"GTRA","18","09","28","LOWNDES             ","0","0","240","1192","1499","0","0","3 ","3","","2018","952","0","0","087","28C087","","","","0","",
"MSR ","18","08","28","JASPER              ","0","0","0","379","330","0","0","3 ","3","","2018","379","0","0","061","28C061","","","","0","",
"VSOR","18","08","28","JASPER              ","0","0","0","1832","2515","0","0","3 ","3","","2018","1832","0","0","061","28C061","","","","0","",
"PBVR","18","09","28","HANCOCK             ","0","0","1260","1530","2140","0","0","3 ","3","","2018","270","0","0","045","28C045","","","","0","",
"NTZR","18","09","28","ADAMS               ","0","0","71","571","551","0","0","3 ","3","","2018","500","0","0","001","28C001","","","","0","",
"PBVR","18","05","28","HANCOCK             ","0","0","1260","1530","2255","0","0","3 ","3","","2018","270","0","0","045","28C045","","","","0","",
"MSE ","18","05","28","JACKSON             ","0","0","414","2114","5725","0","0","3 ","3","","2018","1700","0","0","059","28C059","","","","0","",
"OAR ","18","02","28","PERRY               ","0","0","2016","2016","1351","0","0","3 ","3","","2018","0","0","0","111","28C111","","","","0","",
"IMR ","18","06","28","MONROE              ","0","0","0","352","128","0","0","3 ","3","","2018","352","0","0","095","28C095","","","","0","",
"MSDR","18","08","28","COAHOMA             ","0","0","0","271","242","0","0","3 ","3","","2018","271","0","0","027","28C027","","","","0","",
"MSR ","18","06","28","JASPER              ","0","0","0","321","236","0","0","3 ","3","","2018","321","0","0","061","28C061","","","","0","",
"MDS ","18","02","28","LAUDERDALE          ","0","0","0","1093","634","0","0","3 ","3","","2018","1093","0","0","075","28C075","","","","0","",
"TSWS","18","04","17","WILL                ","0","0","25944","30264","16915","0","0","3 ","4","","2018","0","0","4320","197","17C197","","","","0","",
"ITSL","18","02","17","DU PAGE             ","0","0","35090","35090","12047","0","0","3 ","4","","2018","0","0","0","043","17C043","","","","0","",
"JERX","18","02","17","MASSAC              ","0","0","0","136","0","0","0","3 ","4","","2018","136","0","0","127","17C127","","","","0","",
"JERX","18","03","17","MASSAC              ","0","0","0","143","0","0","0","3 ","4","","2018","143","0","0","127","17C127","","","","0","",
"JERX","18","01","17","MASSAC              ","0","0","0","116","0","0","0","3 ","4","","2018","116","0","0","127","17C127","","","","0","",
"LFIZ","18","01","17","MONTGOMERY          ","0","0","0","0","0","0","0","6 ","4","","2018","0","0","0","135","17C135","","","","0","",
"CRL ","18","02","17","COOK                ","0","0","9660","10285","7460","0","0","3 ","4","","2018","625","0","0","031","17C031","","","","0","",
"GS  ","18","03","17","PEORIA              ","0","0","44","1442","2106","0","0","3 ","4","","2018","1398","0","0","143","17C143","","","","0","",
"DT  ","18","03","17","PEORIA              ","0","0","31","263","281","0","0","3 ","4","","2018","232","0","0","143","17C143","OPERATES AS NEEDED. ","","","19","",
"GS  ","18","04","17","PEORIA              ","0","0","45","1267","2045","0","0","3 ","4","","2018","1222","0","0","143","17C143","","","","0","",
"EIRC","18","03","17","COLES               ","0","0","0","319","781","0","0","3 ","4","","2018","319","0","0","029","17C029","","","","0","",
"BRC ","18","04","17","COOK                ","0","0","34068","34156","73385","0","0","3 ","4","","2018","88","0","0","031","17C031","","","","0","",
"KJRY","18","02","17","PEORIA              ","0","0","509","2208","3208","0","0","3 ","4","","2018","1699","0","0","143","17C143","","","","0","",
"EWR ","18","06","17","PEORIA              ","0","0","127","579","223","0","0","3 ","4","","2018","452","0","0","143","17C143","","","","0","",
"RAFX","18","09","17","DU PAGE             ","0","0","3839","3839","2559","0","0","6 ","4","","2018","0","0","0","043","17C043","","","","0","",
"RAFX","18","10","17","DU PAGE             ","0","0","3732","3732","2488","0","0","6 ","4","","2018","0","0","0","043","17C043","","","","0","",
"RAFX","18","11","17","DU PAGE             ","0","0","3428","3428","2285","0","0","6 ","4","","2018","0","0","0","043","17C043","","","","0","",
"RAFX","18","12","17","DU PAGE             ","0","0","3317","3317","2211","0","0","6 ","4","","2018","0","0","0","043","17C043","","","","0","",
"RAFX","18","01","17","DU PAGE             ","0","0","2799","2799","1866","0","0","6 ","4","","2018","0","0","0","043","17C043","","","","0","",
"RAFX","18","02","17","DU PAGE             ","0","0","3093","3093","2062","0","0","6 ","4","","2018","0","0","0","043","17C043","","","","0","",
"RAFX","18","03","17","DU PAGE             ","0","0","3503","3503","2335","0","0","6 ","4","","2018","0","0","0","043","17C043","","","","0","",
"RAFX","18","04","17","DU PAGE             ","0","0","3011","3011","2007","0","0","6 ","4","","2018","0","0","0","043","17C043","","","","0","",
"RAFX","18","05","17","DU PAGE             ","0","0","3719","3719","2479","0","0","6 ","4","","2018","0","0","0","043","17C043","","","","0","",
"RAFX","18","06","17","DU PAGE             ","0","0","3686","3686","2457","0","0","6 ","4","","2018","0","0","0","043","17C043","","","","0","",
"KTR ","18","01","17","PEORIA              ","0","0","69","69","173","0","0","3 ","4","","2018","0","0","0","143","17C143","","","","0","",
"PARN","18","01","02","SKAGWAY-HOONAH-ANGOO","0","0","0","0","0","0","0","3 ","8","","2018","0","0","0","","","HOURS REFLECT OFFSEASON OPERATIONS.","","","35","",
"PARN","18","02","02","SKAGWAY-HOONAH-ANGOO","0","0","0","0","3380","0","0","3 ","8","","2018","0","0","0","","","HOURS REFLECT OFFSEASON OPERATIONS.","","","35","",
"PARN","18","03","02","SKAGWAY-HOONAH-ANGOO","0","0","0","0","6001","0","0","3 ","8","","2018","0","0","0","","","INCREASE N HOURS REFLECT START OF SESAONAL OPERATIONS.","","","54","",
"ARR ","18","02","02","ANCHORAGE           ","0","0","18859","41594","87045","695700","4802","2 ","8","","2018","18174","4561","0","020","02C020","MANHOURS AND PASSENGER COUNTS ARE LOWER DUE TO OFF SEASON.","","","58","",
"PARN","18","04","02","SKAGWAY-HOONAH-ANGOO","0","0","0","0","8642","0","0","3 ","8","","2018","0","0","0","","","","","","0","",
"ARR ","18","01","02","ANCHORAGE           ","0","0","15798","38815","72762","308312","1168","2 ","8","","2018","19283","3734","0","020","02C020","MANHOURS AND PASSENGER COUNTS ARE LOWER DUE TO OFF SEASON","","","57","",
"ARR ","18","04","02","ANCHORAGE           ","0","0","19558","50275","89068","159421","912","2 ","8","","2018","27224","3493","0","020","02C020","MANHOURS AND PASSENGER COUNTS ARE LOWER DUE TO OFF SEASON.","","","58","",
"ARR ","18","06","02","ANCHORAGE           ","0","0","28999","105547","104305","16206183","123153","2 ","8","","2018","24249","52299","0","020","02C020","PASSENGER COUNTS AND MANHOURS ARE HIGHER DUE TO PASSENGER SEASON.","","","65","",
"ARR ","18","05","02","ANCHORAGE           ","0","0","25675","83542","104676","6961767","49496","2 ","8","","2018","27121","30746","0","020","02C020","PASSENGER COUNTS AND MANHOURS ARE HIGHER DUE TO PASSENGER SEASON.","","","65","",
"PARN","18","12","02","SKAGWAY-HOONAH-ANGOO","0","0","0","0","3219","0","0","3 ","8","","2018","0","0","0","","","NO PASSENGER RAIL OPERATIONS. CLOSED.","","","37","",
"PARN","18","07","02","SKAGWAY-HOONAH-ANGOO","0","0","0","12101","26134","3428902","111202","3 ","8","","2018","0","12101","0","","","SEASONAL OPERATION. NORMAL RAIL RELATED OPERATIONS","","","50","",
"PARN","18","08","02","SKAGWAY-HOONAH-ANGOO","0","0","0","11677","26004","3184244","118959","3 ","8","","2018","0","11677","0","","","SEASONAL OPERATION. NORMAL RAIL RELATED OPERATIONS","","","50","",
"PARN","18","09","02","SKAGWAY-HOONAH-ANGOO","0","0","0","8315","24993","2241888","64331","3 ","8","","2018","0","8315","0","","","SEASONAL OPERATION. NORMAL RAIL RELATED OPERATIONS","","","50","",
"PARN","18","10","02","SKAGWAY-HOONAH-ANGOO","0","0","0","202","15803","56080","1609","3 ","8","","2018","0","202","0","","","LAST MONTH OF THE RAIL OPERATING SEASON.","","","40","",
"ARR ","18","03","02","ANCHORAGE           ","0","0","30585","57656","130136","1137739","5196","2 ","8","","2018","19078","7993","0","020","02C020","MANHOURS AND PASSENGER COUNTS ARE HIGHER DUE TO SPECIAL PASSENGER TRAINS.","","","73","",
"ARR ","18","08","02","ANCHORAGE           ","0","0","26942","109930","106346","17566391","134098","2 ","8","","2018","28158","54830","0","020","02C020","PASSENGER COUNTS AND MANHOURS ARE HIGHER DUE TO PASSENGER SEASON.","","","65","",
"ARR ","18","11","02","ANCHORAGE           ","0","0","17625","45918","72329","276650","1094","2 ","8","","2018","24559","3734","0","020","02C020","PASSENGER NUMBERS ARE LOWER DUE TO PASSENGER SEASON NOT IN SESSION.","","","67","",
"ARR ","18","12","02","ANCHORAGE           ","0","0","18642","43852","85678","756650","4535","2 ","8","","2018","20421","4789","0","020","02C020","PASSENGER NUMBERS ARE LOWER DUE TO PASSENGER SEASON NOT IN SESSION.","","","67","",
"PARN","18","06","02","SKAGWAY-HOONAH-ANGOO","0","0","0","10917","25701","3322440","103949","3 ","8","","2018","0","10917","0","","","SEASONAL OPERATION","","","18","",
"ARR ","18","09","02","ANCHORAGE           ","0","0","39264","93985","144503","8134008","61155","2 ","8","","2018","24220","30501","0","020","02C020","PASSENGER COUNTS AND MANHOURS ARE HIGHER DUE TO MID WEEK PASSENGER TRAINS.","","","74","",
"ARR ","18","07","02","ANCHORAGE           ","0","0","26845","107056","101919","18252986","143396","2 ","8","","2018","27373","52838","0","020","02C020","PASSENGER COUNTS AND MANHOURS ARE HIGHER DUE TO PASSENGER SEASON.","","","65","",
"PARN","18","11","02","SKAGWAY-HOONAH-ANGOO","0","0","0","0","3723","0","0","3 ","8","","2018","0","0","0","","","NO RAIL RELATED OPERATIONS.  CLOSED.","","","36","",
"PARN","18","05","02","SKAGWAY-HOONAH-ANGOO","0","0","0","6208","18078","1800977","60180","3 ","8","","2018","0","6208","0","","","SEASONAL OPERATION, MAY WAS THE FIRST MONTH WITH AN INCREASE IN HOURS AND MILES.","","","80","",
"ARR ","18","10","02","ANCHORAGE           ","0","0","18188","54574","84747","331534","2606","2 ","8","","2018","32550","3836","0","020","02C020","PASSENGER NUMBERS ARE LOWER DUE TO PASSENGER SEASON NOT IN SESSION.","","","67","",
"LDRR","18","06","12","DUVAL               ","0","0","1352","8559","5322","0","0","3 ","3","","2018","7207","0","0","031","12C031","","","","0","",
"GCRX","18","07","04","COCONINO            ","0","0","245","8401","18065","3242688","50667","3 ","7","","2018","0","8060","96","005","04C005","","","","0","",
"DSC ","18","05","04","YAVAPAI             ","0","0","42","42","59","0","0","3 ","7","","2018","0","0","0","025","04C025","","","","0","",
"CBRY","18","11","04","PINAL               ","0","0","0","6018","7217","0","0","3 ","7","","2018","6018","0","0","021","04C021","","","","0","",
"APA ","18","05","04","NAVAJO              ","0","0","126","606","2537","0","0","3 ","7","","2018","480","0","0","017","04C017","","","","0","",
"APA ","18","10","04","NAVAJO              ","0","0","231","1111","3212","0","0","3 ","7","","2018","880","0","0","017","04C017","","","","0","",
"DSC ","18","12","04","YAVAPAI             ","0","0","57","57","58","0","0","3 ","7","","2018","0","0","0","025","04C025","","","","0","",
"GCRX","18","03","04","COCONINO            ","0","0","199","6843","15699","2919360","45615","3 ","7","","2018","0","6630","14","005","04C005","OPERATED 2 TRAINS DAILY DURING SPRING BREAK TRAFFIC.","","","52","",
"DSC ","18","09","04","YAVAPAI             ","0","0","32","32","77","0","0","3 ","7","","2018","0","0","0","025","04C025","","","","0","",
"GCRX","18","08","04","COCONINO            ","0","0","152","5228","17261","1786880","27920","3 ","7","","2018","0","4810","266","005","04C005","AUGUST IS THE END OF THE TOURIST SEASON, WITH LESS PASSENGERS AND LESS TRAINS. ONLY 4 WORK TRAINS US","ED. ","","103","",
"KGTR","18","12","04","MOHAVE              ","0","0","540","540","368","0","0","3 ","7","","2018","0","0","0","015","04C015","","","","0","",
"APA ","18","11","04","NAVAJO              ","0","0","189","909","3120","0","0","3 ","7","","2018","720","0","0","017","04C017","","","","0","",
"ARZC","18","09","04","LA PAZ              ","0","0","15","12606","6730","0","0","3 ","7","","2018","12591","0","0","012","04C012","THE REASON FOR THE FLUCTUATION IN HOURS IS BECAUSE OF THE THREE (3) PAY PERIODS IN THE MONTH. NO INJ","URIES OR ILLNESSES TO REPORT","","128","",
"AZER","18","09","04","GILA                ","0","0","3636","8028","10074","0","0","3 ","7","","2018","4392","0","0","007","04C007","THE REASON FOR THE FLUCTUATION IN HOURS IS BECAUSE OF THREE (3) PAY PERIODS IN THE MONTH. NO INJURIE","S OR ILLNESSES TO REPORT.","","125","",
"GCRX","18","11","04","COCONINO            ","0","0","151","5207","18199","2292732","49083","3 ","7","","2018","0","5022","34","005","04C005","32 ADDITIONAL TRAINS AND 28,286 ADDITIONAL PASSENGERS WITH POLAR EXPRESS IN NOVEMBER.","","","85","",
"DSC ","18","11","04","YAVAPAI             ","0","0","24","24","46","0","0","3 ","7","","2018","0","0","0","025","04C025","","","","0","",
"APA ","18","06","04","NAVAJO              ","0","0","147","707","2534","0","0","3 ","7","","2018","560","0","0","017","04C017","","","","0","",
"ARZC","18","07","04","LA PAZ              ","0","0","30","13610","4311","0","0","3 ","7","","2018","13580","0","0","012","04C012","NO INJURIES OR ILLNESSES TO REPORT","","","34","",
"CSRM","18","12","06","SACRAMENTO          ","0","0","4","88","64","99542","16592","3 ","7","","2018","0","84","0","067","06C067","","","","0","",
"ACEX","18","10","06","SAN JOAQUIN         ","0","0","0","16398","17238","6631679","151604","6 ","7","","2018","0","15658","740","077","06C077","","","","0","",
"PSRM","18","11","06","SAN DIEGO           ","0","0","18","304","0","7272","930","3 ","7","","2018","0","276","10","073","06C073","","","","0","",
"NWP ","18","10","06","SONOMA              ","0","0","120","966","877","0","0","6 ","7","","2018","846","0","0","097","06C097","","","","0","",
"SCAX","18","03","06","LOS ANGELES         ","0","0","0","237374","99078","28159479","911310","6 ","7","","2018","0","237374","0","037","06C037","DUE TO NEW INFO, ADDITIONAL INJURY TO REPORT PER AMTRAK 5/21/18 - INJURY REMOVED PER AMTRAK ON 8/22/","18.  (030518) DUE TO DETERMINATION INJURY WAS NON-REPORTABLE.","","161","",
"SCRT","18","03","06","SACRAMENTO          ","0","0","0","56116","0","7321326","424031","3 ","7","","2018","0","53084","3032","067","06C067","","","","0","",
"PHL ","18","03","06","LOS ANGELES         ","0","0","18878","18878","30891","0","0","3 ","7","","2018","0","0","0","037","06C037","ACTUAL SITCHING MILES ARE BASED ON GPS TRACKING SYSTEM","","","54","",
"PHL ","18","04","06","LOS ANGELES         ","0","0","17898","17898","30309","0","0","3 ","7","","2018","0","0","0","037","06C037","SWITCHING MILES BASED ON ACTUAL GPS MILES.","","","42","",
"PCMZ","18","03","06","SANTA CLARA         ","0","0","2304","118851","82564","37702545","1618135","6 ","7","","2018","0","116547","0","085","06C085","","","","0","",
"RPRC","18","02","06","CONTRA COSTA        ","0","0","4025","8855","2481","0","0","3 ","7","","2018","4830","0","0","013","06C013","","","","0","",
"PCMZ","18","04","06","SANTA CLARA         ","0","0","2304","116439","79013","36325166","1559020","6 ","7","","2018","0","114135","0","085","06C085","","","","0","",
"SCAX","18","04","06","LOS ANGELES         ","0","0","0","227820","79712","27933353","903992","6 ","7","","2018","0","227820","0","037","06C037","INJURY (043018) DEEMED NON-REPORTABLE ON 8/22/18 BY AMTRAK.  REMOVED FROM FORM 55","","","81","",
"SAV ","18","06","06","SACRAMENTO          ","0","0","1986","1986","1006","0","0","3 ","7","","2018","0","0","0","067","06C067","","","","0","",
"LRS ","18","06","37","SCOTLAND            ","0","0","684","1143","344","0","0","3 ","3","","2018","459","0","0","165","37C165","","","","0","",
"CLNA","18","11","37","WILSON              ","0","0","0","4362","4248","0","0","3 ","3","","2018","4362","0","0","195","37C195","","","","0","",
"ARC ","18","12","37","ALEXANDER           ","0","0","160","900","1192","0","0","3 ","3","","2018","740","0","0","003","37C003","","","","0","",
"NCMX","18","09","37","ROWAN               ","0","0","0","324","2410","3481","1989","3 ","3","","2018","0","324","0","159","37C159","","","","0","",
"CLNA","18","09","37","WILSON              ","0","0","0","3670","3606","0","0","3 ","3","","2018","3670","0","0","195","37C195","","","","0","",
"PNRW","18","09","37","GASTON              ","0","0","0","269","825","0","0","3 ","3","","2018","269","0","0","071","37C071","","","","0","",
"GSM ","18","09","37","SWAIN               ","0","0","65","1575","15743","389194","8531","3 ","3","","2018","0","1420","90","173","37C173","SEASONAL BUSINESS","","","17","",
"TBRY","18","08","37","RUTHERFORD          ","0","0","0","7","83","0","0","3 ","3","","2018","7","0","0","161","37C161","","","","0","",
"ARC ","18","09","37","ALEXANDER           ","0","0","160","900","1172","0","0","3 ","3","","2018","740","0","0","003","37C003","","","","0","",
"HPTD","18","11","37","GUILFORD            ","0","0","0","1496","579","0","0","3 ","3","","2018","1496","0","0","081","37C081","","","","0","",
"CWCY","18","08","37","CALDWELL            ","0","0","0","92","224","0","0","3 ","3","","2018","92","0","0","027","37C027","","","","0","",
"KSH ","18","07","37","LENOIR              ","0","0","0","0","0","0","0","5 ","3","","2018","0","0","0","107","37C107","","","","0","",
"GSM ","18","08","37","SWAIN               ","0","0","60","1520","15498","531811","12176","3 ","3","","2018","0","1385","75","173","37C173","SEASONAL BUSINESS","","","17","",
"YVRR","18","08","37","FORSYTH             ","0","0","2066","5510","3549","0","0","3 ","3","","2018","3444","0","0","067","37C067","","","","0","",
"TBRY","18","11","37","RUTHERFORD          ","0","0","0","3","48","0","0","3 ","3","","2018","3","0","0","161","37C161","","","","0","",
"YVRR","18","11","37","FORSYTH             ","0","0","1908","5088","3491","0","0","3 ","3","","2018","3180","0","0","067","37C067","","","","0","",
"PNRW","18","12","37","GASTON              ","0","0","0","195","1094","0","0","3 ","3","","2018","195","0","0","071","37C071","","","","0","",
"NHVX","18","11","37","WAKE                ","0","0","6","150","81","3296","412","3 ","3","","2018","0","96","48","183","37C183","VERY LIGHT MONTH","","","16","",
"GSM ","18","11","37","SWAIN               ","0","0","80","1459","23109","582870","35696","3 ","3","","2018","0","1254","125","173","37C173","VERY BUSY MONTH FOR THE GSMR.","","","29","",
"WSS ","18","11","37","FORSYTH             ","0","0","0","2784","3090","0","0","3 ","3","","2018","2784","0","0","067","37C067","","","","0","",
"LRS ","18","10","37","SCOTLAND            ","0","0","653","1328","484","0","0","3 ","3","","2018","675","0","0","165","37C165","","","","0","",
"KSH ","18","09","37","LENOIR              ","0","0","0","0","0","0","0","5 ","3","","2018","0","0","0","107","37C107","","","","0","",
"NCMX","18","10","37","ROWAN               ","0","0","0","324","1833","16380","9360","3 ","3","","2018","0","324","0","159","37C159","ON OCTOBER 25TH, OUR DAILY PASSENGER TRAIN DERAILED ON ITS FINAL RETURN TRIP TO ITS NORMAL STOP. TRA","IN WAS MOVING NO MORE THAN 8 MILES PER HOUR WHILE BACKING UP. ONE PASSENGER CAR WAS DERAILED ON THE ","VERY REAR. THE READ WAS PROTECTED BY THE BRAKEMAN.","250","",
"NCMX","18","11","37","ROWAN               ","0","0","0","246","1776","34193","19539","3 ","3","","2018","0","246","0","159","37C159","ANNUAL POLAR EXPRESS TRAINS INCREASED RIDERSHIP NUMBERS. ","","","56","",
"WSS ","18","05","37","FORSYTH             ","0","0","0","3752","3142","0","0","3 ","3","","2018","3752","0","0","067","37C067","","","","0","",
